Country, Proportion of Users
BE, 0.00801068090788
FR, 0.00801068090788
BG, 0.00267022696929
DE, 0.018691588785
JP, 0.120160213618
JM, 0.00133511348465
MK, 0.00133511348465
FI, 0.00400534045394
CN, 0.181575433912
RU, 0.00801068090788
NL, 0.00934579439252
RS, 0.00133511348465
TW, 0.0160213618158
TR, 0.00400534045394
LV, 0.00267022696929
NZ, 0.00534045393858
LU, 0.00133511348465
TH, 0.00267022696929
EG, 0.00133511348465
PL, 0.00801068090788
CH, 0.00534045393858
GR, 0.00133511348465
CA, 0.0240320427236
IR, 0.00267022696929
IT, 0.018691588785
VN, 0.00267022696929
CZ, 0.00400534045394
GE, 0.00133511348465
AU, 0.00667556742323
GB, 0.0333778371162
IN, 0.0173564753004
EU, 0.00534045393858
IE, 0.00133511348465
ES, 0.0120160213618
ME, 0.00133511348465
KG, 0.00133511348465
HK, 0.00934579439252
SG, 0.00267022696929
NO, 0.00133511348465
MY, 0.00133511348465
US, 0.324432576769
SK, 0.00133511348465
KR, 0.0987983978638
KZ, 0.00133511348465
UA, 0.00133511348465
SE, 0.00934579439252
AT, 0.00400534045394
